[Epoch 1 | Batch 000 ] loss = 2.3838 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 001 ] loss = 2.5937 L2 = 0.0068, Cosine = 0.9985
[Epoch 1 | Batch 002 ] loss = 2.5665 L2 = 0.0068, Cosine = 0.9988
[Epoch 1 | Batch 003 ] loss = 3.1962 L2 = 0.0068, Cosine = 0.9991
[Epoch 1 | Batch 004 ] loss = 3.9144 L2 = 0.0072, Cosine = 0.9989
[Epoch 1 | Batch 005 ] loss = 4.1784 L2 = 0.0066, Cosine = 0.9994
[Epoch 1 | Batch 006 ] loss = 4.9348 L2 = 0.0064, Cosine = 0.9998
[Epoch 1 | Batch 007 ] loss = 3.9841 L2 = 0.0043, Cosine = 0.9998
[Epoch 1 | Batch 008 ] loss = 3.5568 L2 = 0.0029, Cosine = 0.9999
[Epoch 1 | Batch 009 ] loss = 3.0609 L2 = 0.0019, Cosine = 0.9999
[Epoch 1 | Batch 010 ] loss = 3.0160 L2 = 0.0016, Cosine = 0.9999
[Epoch 1 | Batch 011 ] loss = 2.8957 L2 = 0.0009, Cosine = 1.0000
[Epoch 1 | Batch 012 ] loss = 3.2352 L2 = 0.0009, Cosine = 1.0000
[Epoch 1 | Batch 013 ] loss = 2.8158 L2 = 0.0006, Cosine = 1.0000
[Epoch 1 | Batch 014 ] loss = 2.5982 L2 = 0.0005, Cosine = 1.0000
[Epoch 1 | Batch 015 ] loss = 2.5204 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 016 ] loss = 2.4939 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 017 ] loss = 2.4628 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 018 ] loss = 2.4817 L2 = 0.0005, Cosine = 1.0000
[Epoch 1 | Batch 019 ] loss = 2.3352 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 020 ] loss = 2.4941 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 021 ] loss = 2.2221 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 022 ] loss = 2.3455 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 023 ] loss = 2.4244 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 024 ] loss = 2.2008 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 025 ] loss = 2.2354 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 026 ] loss = 2.0997 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 027 ] loss = 2.0304 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 028 ] loss = 1.9557 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 029 ] loss = 2.1623 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 030 ] loss = 2.2947 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 031 ] loss = 2.0547 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 032 ] loss = 1.8740 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 033 ] loss = 2.0552 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 034 ] loss = 2.0814 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 035 ] loss = 1.8850 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 036 ] loss = 2.0019 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 037 ] loss = 2.0203 L2 = 0.0006, Cosine = 1.0000
[Epoch 1 | Batch 038 ] loss = 1.8849 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 039 ] loss = 1.8683 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 040 ] loss = 1.9190 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 041 ] loss = 1.8577 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 042 ] loss = 1.8436 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 043 ] loss = 1.8709 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 044 ] loss = 1.9125 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 045 ] loss = 1.8289 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 046 ] loss = 1.8193 L2 = 0.0002, Cosine = 1.0000
[Epoch 1 | Batch 047 ] loss = 1.8285 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 048 ] loss = 1.8517 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 049 ] loss = 1.7714 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 050 ] loss = 1.7034 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 051 ] loss = 1.7416 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 052 ] loss = 1.8600 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 053 ] loss = 1.7129 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 054 ] loss = 1.7373 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 055 ] loss = 1.7786 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 056 ] loss = 1.7769 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 057 ] loss = 1.7015 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 058 ] loss = 1.7251 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 059 ] loss = 1.7131 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 060 ] loss = 1.6818 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 061 ] loss = 1.6762 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 062 ] loss = 1.7182 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 063 ] loss = 1.7315 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 064 ] loss = 1.6634 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 065 ] loss = 1.6879 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 066 ] loss = 1.5997 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 067 ] loss = 1.6513 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 068 ] loss = 1.5585 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 069 ] loss = 1.6269 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 070 ] loss = 1.7202 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 071 ] loss = 1.5701 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 072 ] loss = 1.5857 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 073 ] loss = 1.6240 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 074 ] loss = 1.7209 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 075 ] loss = 1.6441 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 076 ] loss = 1.6129 L2 = 0.0003, Cosine = 1.0000
[Epoch 1 | Batch 077 ] loss = 1.6004 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 078 ] loss = 1.5993 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 079 ] loss = 1.6377 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 080 ] loss = 1.6748 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 081 ] loss = 1.5015 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 082 ] loss = 1.6151 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 083 ] loss = 1.5162 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 084 ] loss = 1.5646 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 085 ] loss = 1.5623 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 086 ] loss = 1.5407 L2 = 0.0005, Cosine = 1.0000
[Epoch 1 | Batch 087 ] loss = 1.4542 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 088 ] loss = 1.4966 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 089 ] loss = 1.5384 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 090 ] loss = 1.5898 L2 = 0.0005, Cosine = 1.0000
[Epoch 1 | Batch 091 ] loss = 1.5356 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 092 ] loss = 1.6018 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 093 ] loss = 1.5841 L2 = 0.0005, Cosine = 1.0000
[Epoch 1 | Batch 094 ] loss = 1.5218 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 095 ] loss = 1.4696 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 096 ] loss = 1.5497 L2 = 0.0004, Cosine = 1.0000
[Epoch 1 | Batch 097 ] loss = 1.4236 L2 = 0.0005, Cosine = 1.0000
Epoch [1] Test Acc: 38.64% 
[Epoch 2 | Batch 000 ] loss = 1.8453 L2 = 0.0798, Cosine = 0.5831
[Epoch 2 | Batch 001 ] loss = 1.8081 L2 = 0.0680, Cosine = 0.5564
[Epoch 2 | Batch 002 ] loss = 1.7578 L2 = 0.0659, Cosine = 0.4511
[Epoch 2 | Batch 003 ] loss = 1.7759 L2 = 0.0589, Cosine = 0.5610
[Epoch 2 | Batch 004 ] loss = 1.6936 L2 = 0.0488, Cosine = 0.8342
[Epoch 2 | Batch 005 ] loss = 1.7118 L2 = 0.0476, Cosine = 0.8788
[Epoch 2 | Batch 006 ] loss = 1.7446 L2 = 0.0434, Cosine = 0.8625
[Epoch 2 | Batch 007 ] loss = 1.7734 L2 = 0.0553, Cosine = 0.8294
[Epoch 2 | Batch 008 ] loss = 1.6626 L2 = 0.0408, Cosine = 0.7898
[Epoch 2 | Batch 009 ] loss = 1.6921 L2 = 0.0444, Cosine = 0.8390
[Epoch 2 | Batch 010 ] loss = 1.7427 L2 = 0.0438, Cosine = 0.7928
[Epoch 2 | Batch 011 ] loss = 1.6735 L2 = 0.0526, Cosine = 0.5850
[Epoch 2 | Batch 012 ] loss = 1.6703 L2 = 0.0499, Cosine = 0.6988
[Epoch 2 | Batch 013 ] loss = 1.7042 L2 = 0.0533, Cosine = 0.6724
